ethnicity,name,address,price_level,rating
chinese,Sun Garden Chinese Bistro,"6600 N Mesa St # 501, El Paso",1,4.4
cuban,,,,
czech,,,,
french,Entrecôte & Co.,"5825 N Mesa St, El Paso",,
german,Peter's German Grill & Bakery,"255 Shadow Mountain Dr, El Paso",1,4.7
greek,Zino's Greek and Mediterranean Cuisine,"7040 N Mesa St, El Paso",2,4.6
haitian,,,,
hungarian,,,,
indian,India Palace,"5380 N Mesa St #116, El Paso",2,3.8
indonesian,,,,
irish,Leprechaun Irish Pub,"Blvd. Manuel Gómez Morín 7513, Rincones de San Marcos, Cd Juárez",2,4.4
israeli,,,,
italian,Trattoria Bella Sera,"3512 N Yarbrough Dr, El Paso",2,4.5
japanese,Riyoma Japanese Restaurant,"2000 Lee Trevino Dr, El Paso",2,4.5
jewish,,,,
korean,Kalbi House,"5718 Dyer St, El Paso",,
lebanese,,,,
mexican,L & J Cafe,"3622 E Missouri Ave, El Paso",1,4.5
new american,Park Tavern,"204 E Mills Ave, El Paso",,
pakistani,,,,
polish,,,,
russian,,,,
scandinavian,,,,
scottish,,,,
soul food,Southern Comfort Cafe,"10630 Montwood Dr F, El Paso",,
spanish,,,,
thai,Tara Thai Kitchen,"2606 N Mesa St, El Paso",2,4.3
turkish,Halal Turkish restaurant KEBAB FOREVER,"3233 north Mesa 201, El Paso",,
ukrainian,,,,
vietnamese,Việt Restaurant,"1700 N Zaragoza Rd #107,108, El Paso",,
